licenseno,dlname,address,license_plate
DL41316,John Miller,"929 Perkins Via
Lake John, AS 74628",PY036993
DL97552,Debra Bridges,"562 Lara Course Suite 900
East Gregory, NE 24936",PY01BD9020
DL84424,Martin Lopez,"860 Joanna Burgs
Wardberg, PA 82490",PY01CE4149
DL17830,Kristin White,"83800 Sanchez Knoll Suite 903
New Hannah, IL 12275",PY01AH9067
DL62420,Jason Murphy,"Unit 9767 Box 0751
DPO AP 41030",PY01CG2929
DL77798,Joseph Jones,"3043 Green Street
Mariamouth, NY 16106",PY01CY2442
DL99158,Richard Baldwin,"051 Miles Extensions Suite 379
New Kelseyburgh, IN 83921",PY05A8339
DL30885,Danielle Clark,"532 Jeffery Skyway
Port Jennifer, MA 94600",PY01BU2406
DL57362,Nicholas Hayes,"98782 Matthews Villages Apt. 764
Russellview, AZ 84770",PY02S9326
DL33653,Michael Murphy,"07007 Moore Via Suite 905
Adamsside, SC 88019",RJ14CW4115
DL76111,Kevin Compton,"22782 Wright Views Apt. 146
Traceymouth, MD 83010",RJ20CD5118
DL95722,Ronald Lowe,"406 Ashley Ferry
Johnsonfurt, NY 07936",RJ14CF5807
DL10655,Melissa Robinson,"68622 Armstrong Rapids
Jamesmouth, ME 56669",RJ23CB2272
DL40112,Robert Hooper,"57321 Antonio Viaduct Apt. 862
Lake Barbaraside, TX 24707",RJ23CB4320
DL86923,Matthew Young,"5781 Brett Falls
Kathrynside, VI 33451",RJ14CM3730
DL90542,Laura Thomas,"3469 Breanna Crescent Apt. 216
South Elizabeth, MO 72048",SK01PA2969
DL11218,John Banks,"658 Hatfield Parkway
Griffinfurt, RI 55539",SK01T3794
DL45866,Ryan Hernandez,"37815 Travis Manor
Moralesmouth, MS 16592",SK01PA7708
DL18585,Erin Walter,"516 Sarah Harbor
East Donald, MP 77957",SK01PA4521
DL84886,Brandon Mendez,"430 Lee Mountain
South William, SD 97048",SK01PB3596
DL22638,Matthew Newman,"907 David Causeway
New Jessechester, DC 90712",SK04P1320
DL12220,Brandon Smith,"231 Ryan Run Apt. 899
Port Jessicaton, RI 27771",SK02P3471
DL10962,Austin Perez,"Unit 5213 Box 0122
DPO AA 83328",SK01PA5349
DL98367,Joseph Turner,"00428 Reed Stravenue
Lake Bridgetchester, HI 25112",SK01T8791
DL35544,Misty Brown,"58377 Mitchell Points Apt. 362
South Charles, OH 77282",SK01PB5004
DL87114,William Watts,"992 Michelle Fords Apt. 865
Patrickhaven, DC 51425",SK02P1078
DL39064,Jessica Johnson,"39827 William Stravenue
Donaldview, NM 67867",SK01T3835
DL72591,Christopher Johnson,"344 Richard Way Suite 954
East Melvin, AL 95970",TN63BV7954
DL93915,Kimberly Mays,"9061 Lindsey Ranch
Shawnland, TN 10664",TN02AU9295
DL66318,Katherine Contreras,"411 Matthew Drives Apt. 185
Ballberg, CO 96080",TN10AR0131
DL78006,Mrs. Heather Nolan,"059 Laura Brooks
East Jesse, MO 54079",TN47T4464
DL56529,Shane Summers,"96126 Oneal Lodge Suite 006
Staceyland, ME 25739",TN19F0816
DL71168,Robert Johnson,"9445 Jose Prairie Apt. 551
West Victor, GU 84580",TN07BT5778
DL29373,Katelyn Watson,"11402 Tony Tunnel
Lake Kellyville, RI 43361",TN07AP0659
DL73953,Andrew Smith,"4801 Flores Valley
New Angelaview, CO 34738",TN19Q0835
DL65261,Bryan Moran,"393 Roberta Radial
Franklintown, OK 95962",TN69AJ4495
DL85712,Travis Harrison,"76195 King Vista
East Jennifer, AR 40750",TR05B0308
DL73929,Kari Carter,"53979 Janice Manors Apt. 264
South Keithside, NY 20386",TR03H0259
DL14012,Christine Calderon,"1287 Bennett Extensions
Davidberg, WI 17066",TR02L0569
DL15988,Luke Mason,"0040 Peter Lodge Suite 264
West Karenview, MS 84049",TR01N0481
DL25145,Megan Taylor,"4813 Krause Tunnel
Morganside, OH 32495",TR01X0482
DL42751,David Santiago,"00795 Powers Glens
Port Sarahview, CA 43882",TR01BG0365
DL10966,Gregory Guerrero,"553 Knight Cape
New Latoya, ND 81584",TR01E2157
DL32734,James Miller,"904 Miguel Parks
Sarahfurt, WV 28826",TR01AS0609
DL24314,Whitney Brown,"PSC 8647, Box 7330
APO AP 29468",TR07D0569
DL73429,Brenda Baker,"38917 Coleman Locks
New Helen, CT 99679",TS08FQ1262
DL26914,Mary Garcia,"847 Myers Haven Apt. 304
New Abigail, WA 63175",TS07EL3335
DL27917,Derek Thompson,"256 Nelson Junctions
Williamsfurt, OR 45934",TS09EZ9293
DL99418,Victoria Anderson,"751 Dillon Lodge Apt. 288
North Elizabeth, MH 70456",TS09EZ9296
DL98020,Rachel Smith,"458 Hernandez Rue Suite 282
Christinaton, WV 11689",TS09EA4068
DL53553,Sharon Garcia,"975 John Light
Jonathanmouth, KS 69549",TS08EZ9463
DL60546,Miguel Wise,"45559 Megan Centers
Buchananville, VT 40060",TS09EG6565
DL37663,Daniel Henry,"63728 Robert Junctions Suite 030
Port Marissachester, CT 87190",TS21J8351
DL13905,Robert Harper,"8291 Porter Bypass
East Maryland, ID 12975",TS11EQ2914
DL30002,Sharon Dominguez,"55933 Lucas Ports
Yatesview, NY 44088",TS08FZ8298
DL31423,Robert Griffin,"Unit 0433 Box 2677
DPO AP 16541",TS09UA7948
DL88254,Mr. Gregory Hawkins,"21130 Sellers Spur Suite 278
West Meganville, MI 86944",TS15ES0894
DL29213,Kimberly Herrera,"29351 Robert Manors
South Justinfort, VA 92282",TS36H6578
DL60023,Sara Fisher,"013 Phillips Drive
North Deborah, PR 66942",TS13EK6213
DL28795,Jeff Roberts,"208 Christopher Plains
East Mark, AK 39499",TS07HM2584
DL23927,Jacob Berry,"769 Charles Plaza
Tiffanyburgh, TN 13864",UK08W2276
DL71692,Brian Alvarez,"2127 Rebecca Tunnel Apt. 831
East Phillipville, IA 67102",UK06CB4595
DL66127,Thomas Edwards,"67970 Gina Village
Lake Debbiemouth, CO 97274",UP23K0008
DL12522,Richard Martinez,"69050 Danny Fall Apt. 040
Thomasfort, OH 49097",UK106679
DL43607,Teresa Williams,"9288 Lindsay Rue
Edwardsburgh, VI 74315",UK07AM5665
DL77069,Lisa Murphy,"6516 Leslie Neck
Scottchester, MI 04834",UK07BK5014
DL35043,Wanda Davis,"96460 Decker Knolls Apt. 030
North Kevinton, CO 98700",UK07AA2432
DL71049,Evelyn Macdonald,"55322 Tony Tunnel
North Kellybury, LA 84307",UP57H8173
DL15965,Michael Stuart,"2331 Elizabeth Haven Apt. 312
South Jeffrey, AK 16521",UP85BN4203
DL79297,Taylor Jackson,"7085 Michael Circle
Steveburgh, WA 98445",UP80FA1666
DL98229,Laura Williams,"20349 Madden Rue
East David, IL 45735",UP16U3849
DL78610,Megan Osborne,"0464 Emily Springs
Garnermouth, ND 22827",UP32EC5577
DL93498,Amy Fernandez,"5796 Moody Drives Apt. 363
Port Kathryn, WA 02373",UP78DB3730
DL31542,Joanne Burns,"36316 Connie Vista Apt. 713
Geraldstad, AK 55613",UP53AK1161
DL90229,Jeremy King,"21745 Buck Spur
Jeffreyton, IL 41522",UP14CV7920
DL68893,Terry Cole,"8682 Collins Fork
North Nicolehaven, MP 13616",UP16BD4866
DL11883,Debra Thompson,"4138 Garcia Parkway Apt. 026
Collinsport, NY 60558",UP79L0567
DL26027,Ricky Johnston,"899 Rebecca Mountain Apt. 297
New Victoria, PR 21878",UP32KW7325
DL85807,Timothy Brown,"782 Katherine Shores
West Julia, NE 96714",UP32CX3400
DL50701,Jeremy Pierce,"64842 Maureen Mall
Morganport, RI 62209",UP45Q3028
DL18801,Kelly Owens,"8334 Ortiz Roads
Port Carlton, PW 84711",UP14AK8604
DL35199,Christopher Weaver,"48636 Jesus Fort Suite 606
Mooretown, GA 66106",UP52AH9705
DL81899,Martha Pennington,"9133 Nathan Springs Suite 440
Stonebury, MS 39109",UP11AY0646
DL16150,Heather Roberts,"789 James Shoals Suite 851
Jasmineberg, MP 86721",UP78ED0449
DL47944,Mr. Antonio Yates,"PSC 0477, Box 6430
APO AE 21691",UP27Z7322
DL54216,Julie Joyce,"Unit 5488 Box 4420
DPO AP 01321",UP32BF3577
DL61043,Ronald Wright,"Unit 2056 Box 9764
DPO AA 45042",UP14AX9754
DL10572,Nicole Cook,"15791 Miller Parkways Suite 097
Colemouth, GA 15971",UP32HY6077
DL95691,Margaret Gilbert,"644 Ford Hills Apt. 448
Kellyfort, GA 56682",UP14AF3804
DL10941,James Brewer,"USS Scott
FPO AA 84355",WB26T6688
DL10778,Stephanie Cole,"0178 Christina Springs
Lake Kristen, WA 99383",WB02M8447
DL40076,Scott Curry,"31167 Garcia Creek
Chandlermouth, AK 59978",WB70G3763
DL76849,Chase Thompson,"20695 Bentley Junction Apt. 680
Meadowschester, WY 78472",WB02X8795
DL20069,Jonathan Henderson,"611 Amanda Union
South Anna, MI 99470",WB06G4120
DL57474,Gerald Sullivan,"354 Tran Square
Josephland, UT 25181",WB02AH4655
DL19132,Elizabeth Solis,"94055 Kelly Falls Apt. 472
Ericland, OH 58168",WB06J4432
DL93025,Amanda Ibarra,"8499 Duncan Spur
Sarahfurt, MN 80845",WB02AA5580
DL91549,Rodney Brown,"109 Brian Highway
Whiteview, CO 11025",WB08A4101
DL94766,Krystal Ruiz,"458 Connie Mission
East Susanborough, OK 09517",WB26S5093
DL57157,Stephanie Boyd,"Unit 3130 Box 5432
DPO AE 68677",WB36G6682
DL60131,Jillian Walsh,"65779 Rowland Vista Apt. 868
Robinsonbury, LA 59274",WB12AX2987
DL97865,Jessica Vargas,"38296 Andrew Extension
New Josephberg, MA 17771",WB06J9177
DL70318,Sara Gibson,"942 Michael Prairie Suite 499
West Sarahside, IN 42882",WB02AJ4534
DL54047,Lindsay Long,"994 Amanda Trail
South Frankhaven, LA 04401",WB06J2192
DL74518,Tonya Gonzalez,"USCGC Fisher
FPO AA 02943",WB061061
DL40130,Mary Lutz,"0238 Barbara Branch
North Davidfort, DC 79394",WB02W9535
DL30287,Alison Miller,"9957 Elizabeth Mall Suite 569
South Nicholasstad, IA 22139",WB20H0271
DL25838,Joseph Jones,"23836 Norris Plaza
Abigailstad, NY 56522",WB20AG9041
DL64140,Colleen Rodriguez,"54192 Christopher Island Apt. 880
Morrisshire, FL 98213",WB06H2237
DL78132,Michael Thomas,"004 Morales Port
New Laura, MA 08887",WB02AD3017
DL92523,Brett Goodwin,"65771 Guerrero Spring Apt. 322
New Nicholasburgh, AR 62488",WB02AD4162
DL49822,John Hutchinson,"324 Erika Course
Christopherborough, NH 67053",WB02AM8548
DL25103,Lisa Collins,"784 Fletcher Viaduct Apt. 445
Lake Kennethland, MA 88946",MH01BT0050
DL48713,Christina Oneal,"55571 Brandon Harbor
Port Ericberg, MO 15477",MH03BC6247
DL44853,Angela Alvarez,"5420 William Villages Apt. 958
West Tracey, RI 55035",MH02CD7733
DL72558,Aaron Porter,"65532 Nathaniel Points
West Jamesfort, UT 65909",MH04CT3566
DL51171,Rickey French,"09855 Barbara Roads Suite 546
Melanieview, MD 65374",MH02EE6842
DL24441,William Jones,"USNV Black
FPO AA 27700",MH03AM3025
DL59610,Brittany Flores,"642 Cross Flat
South Brianshire, UT 26749",MH01BG7161
DL59649,Michael Phillips,"91104 Kristy Forest Apt. 793
South John, NJ 62353",MH47Q5851
DL64992,Desiree Arellano,"7089 Anthony Falls
North Wendytown, SD 09781",MH47AZ8323
DL38305,Ivan Cervantes,"952 Perry Crest Suite 451
Camachotown, AZ 09092",MH02EH1077
DL16084,Pamela Moore,"20267 Kramer Groves
Johnsonstad, ID 62811",MH02CR8276
DL11158,Matthew Hensley,"3342 Manuel Villages Suite 852
Stephenberg, NH 16233",MH01BT9066
DL31632,Dean Myers,"8331 Wilson Crescent
East Rachel, MH 82724",MH01DT1917
DL59114,Matthew Lang,"2936 Davis Glens
Lake Robertbury, NE 59000",MH02FN2783
DL56408,Ryan Anderson,"5089 Renee Mission Suite 842
Roseburgh, MN 45428",MH02EK0837
DL21143,Thomas Jordan,"574 Jason Motorway Suite 075
Allisonside, MT 15114",DL3CCQ0107
DL87901,Shari King,"968 David Parkways Suite 117
Acevedoberg, FL 48075",MH01AU0059
DL62112,Ricardo Flores MD,"Unit 2458 Box 6125
DPO AA 39106",MH05EJ3005
DL39680,Justin Cummings,"947 Henry Park Apt. 910
West Helenport, MI 00583",MH03DV2010
DL86987,Shelly Sanchez,"56593 Wells Skyway Apt. 069
Watkinsside, GA 37502",MH05DS8679
DL47200,Mark Myers,"7765 Rivera Ford Suite 598
New Brandi, AR 38166",GJ15CD0564
DL51396,Donna Anderson,"2696 Robinson Drive
Hollymouth, OH 82177",MH43BK9513
DL77954,James Newton,"218 Danielle Course
Mendezmouth, CO 79179",MH47Y1124
DL12406,Tyler Scott,"079 Golden Plaza
Evanstown, GU 86709",MH01DB1477
DL82641,Joseph Williams,"61624 Huff Skyway
South Marchaven, HI 56114",MH12RT1105
DL79132,Jordan Jimenez,"329 Jesse Trace
Swansonview, KY 07890",TN21AT0479
DL34224,Catherine Nelson,"061 Francis Ramp Suite 203
Sarahaven, MT 18552",KA51MJ8156
DL92837,Eddie Herman,"USNV Mitchell
FPO AP 10699",DL6CN6683
DL24795,Lauren Atkins,"38534 Oscar Run
Cynthiaburgh, NC 68302",MH0AE8017
DL31659,Robert Mullen,"875 Anita Radial
Donaldville, UT 45650",GJ03JL0126
DL29508,Jessica Brown,"3664 Jason Village Apt. 409
Lisachester, DC 86880",HR26BC5514
DL55078,Lisa Terrell DDS,"640 Arias Knolls
South Belindaton, VA 24732",HR26CE1485
DL47046,Shane Martin,"249 Moreno Bridge Apt. 909
Cathyburgh, DE 90632",KA03MG2784
DL20121,Gregory Fitzgerald,"1245 Jordan Mill
Monicafort, VT 76717",KA51M8156
DL13791,Taylor Holt,"47797 Robinson Pass Apt. 746
South Larry, NJ 05189",KL54A2670
DL86956,Joshua Haynes,"PSC 8901, Box 8293
APO AA 41181",MH12NE8922
DL88585,Jeremy Holt,"4405 Woods Flats
Jeffreyshire, TX 85206",MH14DX9937
DL98723,Jennifer Kelly,"9721 Jimmy Place Suite 831
East Randallborough, MN 03107",MH15BD8877
DL63728,Mary Collins,"1613 Tammie Spur Suite 617
South Thomastown, AL 83862",MH20BQ20
DL86665,Paul Crawford,"PSC 7400, Box 6106
APO AA 37879",MH20EJ0364
DL80840,Rachel Krueger,"314 Hernandez Squares Suite 749
Garyborough, LA 06089",MH43BU2401
DL27671,Anthony Bryant,"185 Diaz Plains Apt. 287
Lake Mariaton, FL 09125",MH46BV0688
DL52477,Laura Gomez,"217 Jacob Land
Robinsonmouth, NJ 71176",TN19S4523
DL85070,Autumn Greer,"2971 Judy Viaduct Suite 415
New Ericstad, IA 36904",TN21BZ0768
DL67993,Joseph Curtis,"819 Davila Mission Suite 082
North Harrytown, PA 28679",DL6J8404
DL36653,Heather Nichols,"270 Turner Canyon
South Andrewmouth, MI 28881",HP48B2252
DL88958,Kayla Kennedy,"8355 Melinda Estate
West Devinborough, DC 11246",MH02BR4503
DL59989,Jennifer Parker,"3104 Hutchinson Ramp
Alexanderchester, LA 51534",MH02BJ2456
DL20207,Michael Smith,"364 Melissa Square
Ashleymouth, ND 58496",MH02DN8718
DL91396,Donald Cook,"44728 Marie Highway
Port William, CO 05234",MH02TU4884
DL10740,Jesse Jackson,"225 Ryan Square Apt. 135
West Hayley, TX 02022",MH02EK4399
DL83810,Tiffany Martinez,"9481 Thornton Junctions
Ritaton, AZ 44927",MH01CP2655
DL53687,Sandra Rodriguez,"1205 Michael Highway
West Ashley, UT 94340",UP40AF3804
DL29298,Andrea Conley,"4353 Amy Freeway
Port Sarastad, TN 76010",HP40B8992
DL64307,Matthew Young,"4348 Berry Tunnel
Johnbury, UT 69606",KA51MW0329
DL96644,Billy Mullins,"71016 Short Glens
Scottchester, VT 29651",KA51MV6980
DL71354,Jeffrey Ross,"874 Mcpherson Loaf Apt. 438
New Deannaland, KS 06404",KA01AE0381
DL57989,Kelly Benson,"7072 Robert Circle Apt. 575
Dennisfort, TN 05334",DL7CD5017
DL82663,Kathleen Kennedy,"5214 Jason Plain
Hoffmantown, PW 41020",DL3CBJ1384
DL36914,Kyle Bartlett,"76819 Walter Skyway
West Danaview, CA 29954",DL2CAT4762
DL64798,Christine Lowery,"672 Freeman Avenue Apt. 895
New Michael, GU 12001",HR26CO6869
DL79966,Alexis Thomas,"56487 Stephanie Bridge
Lake Deborah, NC 51864",MH03BS4060
DL10153,Blake Chavez,"1961 Walter Bridge Suite 950
Kathrynberg, OH 85979",MH03CB0229
DL13571,George Smith,"5064 Levy Rapid
Joannahaven, WI 03980",MH03AR7140
DL90737,Ashley Brown,"5495 Scott Manor Apt. 741
Tamarafort, LA 71971",MH03DK2961
DL21581,Mrs. Sarah Bond DDS,"067 Vega Trafficway
Craigchester, IA 05393",MH03AF1911
DL55612,Jonathan Howard,"45168 Elizabeth Parks
East Kristen, NE 09366",MH04JM3383
DL31116,Roger Smith,"6935 Gloria Station
Jarviston, OR 83789",MH01DB2561
DL41479,Suzanne Robles,"4001 Erica Isle Apt. 684
Edwinchester, CT 91646",MH03DU5196
DL17048,Allison Jennings,"01530 Denise Via
Harrisontown, TX 20904",MH01DK4867
DL60686,Bruce Brown,"441 Brian Parks Apt. 807
East Kristinmouth, KY 74411",MH02MA5324
DL45230,Melissa Davis,"USS Clark
FPO AA 92845",MH01AX3070
DL15447,Christopher Rodriguez,"441 Preston Villages Apt. 740
Jacksonberg, MA 46698",MH02BG9542
DL61515,Dana Bridges,"82476 Hansen Spur Apt. 666
Davenportview, IA 78376",WB26K2760
DL24671,Richard Farrell,"618 Jennifer Lodge
Hardinport, AL 94355",MH02FD6534
